Number of Trees,F1 Score
10,0.8505747126436781
20,0.8620689655172414
30,0.8670520231213873
40,0.8685714285714285
50,0.8735632183908046
60,0.8685714285714285
70,0.8850574712643678
80,0.8901734104046243
90,0.8901734104046243
100,0.8901734104046243
110,0.896551724137931
120,0.896551724137931
130,0.8850574712643678
140,0.8914285714285715
150,0.8914285714285715
160,0.896551724137931
170,0.896551724137931
180,0.896551724137931
190,0.896551724137931
200,0.8914285714285715
210,0.8914285714285715
220,0.8914285714285715
230,0.896551724137931
240,0.896551724137931
250,0.8901734104046243
260,0.896551724137931
270,0.8901734104046243
280,0.896551724137931
290,0.896551724137931
300,0.896551724137931
