Number of Trees,F1 Score
10,0.8252427184466019
20,0.8584905660377359
30,0.8516746411483254
40,0.8476190476190476
50,0.8584905660377359
60,0.8530805687203793
70,0.8530805687203793
80,0.8625592417061612
90,0.8679245283018867
100,0.8625592417061612
110,0.8625592417061612
120,0.8679245283018867
130,0.8679245283018867
140,0.8679245283018867
150,0.8679245283018867
160,0.8679245283018867
170,0.8679245283018867
180,0.8679245283018867
190,0.8638497652582159
200,0.8638497652582159
210,0.8638497652582159
220,0.8638497652582159
230,0.8638497652582159
240,0.8638497652582159
250,0.8638497652582159
260,0.8679245283018867
270,0.8679245283018867
280,0.8638497652582159
290,0.8638497652582159
300,0.8598130841121495
