Number of Trees,F1 Score
10,0.8363636363636363
20,0.8431876606683805
30,0.8564231738035265
40,0.8556962025316456
50,0.8542713567839196
60,0.8542713567839196
70,0.8564231738035265
80,0.8542713567839196
90,0.8571428571428572
100,0.8564231738035265
110,0.8571428571428572
120,0.8535353535353536
130,0.8484848484848485
140,0.8542713567839196
150,0.8513853904282116
160,0.8521303258145363
170,0.8521303258145363
180,0.8521303258145363
190,0.8492462311557788
200,0.8492462311557788
210,0.8521303258145363
220,0.8492462311557788
230,0.8521303258145363
240,0.8521303258145363
250,0.8521303258145363
260,0.8521303258145363
270,0.8521303258145363
280,0.8521303258145363
290,0.8521303258145363
300,0.8521303258145363
