Number of Trees,F1 Score
10,0.8975609756097562
20,0.9041769041769042
30,0.9064039408866995
40,0.8997555012224938
50,0.8970588235294117
60,0.8992628992628992
70,0.8997555012224938
80,0.8970588235294117
90,0.9019607843137255
100,0.9019607843137255
110,0.9019607843137255
120,0.9019607843137255
130,0.9046454767726161
140,0.9046454767726161
150,0.9046454767726161
160,0.9046454767726161
170,0.9046454767726161
180,0.9046454767726161
190,0.9024390243902439
200,0.905109489051095
210,0.9073170731707317
220,0.9029126213592233
230,0.905109489051095
240,0.9029126213592233
250,0.9002433090024331
260,0.9029126213592233
270,0.9073170731707317
280,0.9046454767726161
290,0.9024390243902439
300,0.9046454767726161
