Number of Trees,F1 Score
10,0.761904761904762
20,0.7228915662650603
30,0.7674418604651162
40,0.7415730337078652
50,0.75
60,0.75
70,0.75
80,0.7415730337078652
90,0.7692307692307692
100,0.7555555555555556
110,0.7640449438202247
120,0.7555555555555556
130,0.7555555555555556
140,0.7555555555555556
150,0.7555555555555556
160,0.7555555555555556
170,0.7640449438202247
180,0.7356321839080461
190,0.7272727272727272
200,0.7356321839080461
210,0.7209302325581396
220,0.7209302325581396
230,0.7126436781609196
240,0.7126436781609196
250,0.7126436781609196
260,0.7209302325581396
270,0.7356321839080461
280,0.7272727272727272
290,0.7415730337078652
300,0.7126436781609196
