Number of Trees,F1 Score
10,0.6943765281173594
20,0.7139364303178484
30,0.7163461538461537
40,0.7149758454106281
50,0.7242206235011991
60,0.727710843373494
70,0.7228915662650603
80,0.7290167865707433
90,0.7398568019093078
100,0.7298578199052133
110,0.7298578199052133
120,0.7298578199052133
130,0.7238095238095239
140,0.7268408551068883
150,0.7298578199052133
160,0.7251184834123222
170,0.7298578199052133
180,0.7268408551068883
190,0.7268408551068883
200,0.7285714285714285
210,0.7303102625298329
220,0.7285714285714285
230,0.7315914489311164
240,0.7303102625298329
250,0.7333333333333334
260,0.7345971563981043
270,0.7345971563981043
280,0.7315914489311164
290,0.7315914489311164
300,0.7285714285714285
