Number of Trees,F1 Score
10,0.7272727272727273
20,0.7277936962750716
30,0.7356321839080461
40,0.7341040462427746
50,0.7215909090909091
60,0.7231638418079096
70,0.7267605633802816
80,0.7380281690140845
90,0.7457627118644068
100,0.7457627118644068
110,0.7457627118644068
120,0.7492957746478873
130,0.7457627118644068
140,0.7422096317280453
150,0.7356321839080461
160,0.7356321839080461
170,0.7319884726224783
180,0.7314285714285714
190,0.7277936962750716
200,0.7314285714285714
210,0.7314285714285714
220,0.735042735042735
230,0.735042735042735
240,0.7293447293447294
250,0.7371428571428572
260,0.7293447293447294
270,0.7293447293447294
280,0.7371428571428572
290,0.7371428571428572
300,0.7371428571428572
